Doc,Topic,Score,Title
Doc42,Topic6,0.221,THE TURNIP
Doc42,Topic8,0.265,THE TURNIP
Doc43,Topic7,0.897,CLEVER HANS
Doc44,Topic1,0.214,THE THREE LANGUAGES
Doc44,Topic2,0.165,THE THREE LANGUAGES
Doc44,Topic7,0.119,THE THREE LANGUAGES
Doc44,Topic6,0.056,THE THREE LANGUAGES
Doc44,Topic9,0.204,THE THREE LANGUAGES
Doc44,Topic8,0.105,THE THREE LANGUAGES
Doc45,Topic10,0.308,THE FOX AND THE CAT
Doc45,Topic1,0.115,THE FOX AND THE CAT
Doc45,Topic3,0.067,THE FOX AND THE CAT
Doc45,Topic5,0.067,THE FOX AND THE CAT
Doc45,Topic6,0.125,THE FOX AND THE CAT
Doc45,Topic9,0.077,THE FOX AND THE CAT
Doc45,Topic8,0.115,THE FOX AND THE CAT
Doc46,Topic10,0.092,THE FOUR CLEVER BROTHERS
Doc46,Topic1,0.059,THE FOUR CLEVER BROTHERS
Doc46,Topic3,0.082,THE FOUR CLEVER BROTHERS
Doc46,Topic2,0.176,THE FOUR CLEVER BROTHERS
Doc46,Topic6,0.295,THE FOUR CLEVER BROTHERS
Doc46,Topic9,0.077,THE FOUR CLEVER BROTHERS
Doc46,Topic8,0.107,THE FOUR CLEVER BROTHERS
Doc47,Topic10,0.104,LILY AND THE LION
Doc47,Topic1,0.101,LILY AND THE LION
Doc47,Topic3,0.059,LILY AND THE LION
Doc47,Topic2,0.207,LILY AND THE LION
Doc47,Topic4,0.216,LILY AND THE LION
Doc47,Topic6,0.080,LILY AND THE LION
Doc47,Topic9,0.149,LILY AND THE LION
Doc48,Topic10,0.114,THE FOX AND THE HORSE
Doc48,Topic1,0.078,THE FOX AND THE HORSE
Doc48,Topic3,0.139,THE FOX AND THE HORSE
Doc48,Topic4,0.337,THE FOX AND THE HORSE
Doc48,Topic7,0.078,THE FOX AND THE HORSE
Doc48,Topic6,0.060,THE FOX AND THE HORSE
Doc48,Topic9,0.066,THE FOX AND THE HORSE
Doc49,Topic1,0.066,THE BLUE LIGHT
Doc49,Topic2,0.179,THE BLUE LIGHT
Doc49,Topic5,0.051,THE BLUE LIGHT
Doc49,Topic4,0.172,THE BLUE LIGHT
Doc49,Topic6,0.069,THE BLUE LIGHT
Doc49,Topic9,0.239,THE BLUE LIGHT
Doc49,Topic8,0.138,THE BLUE LIGHT
Doc50,Topic10,0.058,THE RAVEN
Doc50,Topic1,0.202,THE RAVEN
Doc50,Topic3,0.077,THE RAVEN
Doc50,Topic2,0.077,THE RAVEN
Doc50,Topic5,0.074,THE RAVEN
Doc50,Topic4,0.091,THE RAVEN
Doc50,Topic7,0.172,THE RAVEN
Doc50,Topic6,0.078,THE RAVEN
Doc50,Topic8,0.124,THE RAVEN
Doc51,Topic1,0.061,THE GOLDEN GOOSE
Doc51,Topic2,0.127,THE GOLDEN GOOSE
Doc51,Topic4,0.059,THE GOLDEN GOOSE
Doc51,Topic7,0.115,THE GOLDEN GOOSE
Doc51,Topic6,0.297,THE GOLDEN GOOSE
Doc51,Topic9,0.223,THE GOLDEN GOOSE
Doc52,Topic1,0.122,THE WATER OF LIFE
Doc52,Topic8,0.113,THE WATER OF LIFE
Doc52,Topic2,0.407,THE WATER OF LIFE
Doc52,Topic10,0.059,THE WATER OF LIFE
Doc52,Topic6,0.132,THE WATER OF LIFE
Doc53,Topic10,0.059,THE TWELVE HUNTSMEN
Doc53,Topic1,0.091,THE TWELVE HUNTSMEN
Doc53,Topic2,0.431,THE TWELVE HUNTSMEN
Doc53,Topic4,0.145,THE TWELVE HUNTSMEN
Doc53,Topic9,0.094,THE TWELVE HUNTSMEN
Doc53,Topic8,0.083,THE TWELVE HUNTSMEN
Doc54,Topic1,0.157,THE KING OF THE GOLDEN MOUNTAIN
Doc54,Topic10,0.089,THE KING OF THE GOLDEN MOUNTAIN
Doc54,Topic3,0.153,THE KING OF THE GOLDEN MOUNTAIN
Doc54,Topic2,0.194,THE KING OF THE GOLDEN MOUNTAIN
Doc54,Topic6,0.230,THE KING OF THE GOLDEN MOUNTAIN
Doc55,Topic1,0.082,DOCTOR KNOWALL
Doc55,Topic5,0.057,DOCTOR KNOWALL
Doc55,Topic4,0.061,DOCTOR KNOWALL
Doc55,Topic7,0.184,DOCTOR KNOWALL
Doc55,Topic6,0.381,DOCTOR KNOWALL
Doc55,Topic9,0.057,DOCTOR KNOWALL
Doc55,Topic8,0.070,DOCTOR KNOWALL
Doc56,Topic10,0.151,THE SEVEN RAVENS
Doc56,Topic1,0.184,THE SEVEN RAVENS
Doc56,Topic3,0.104,THE SEVEN RAVENS
Doc56,Topic2,0.154,THE SEVEN RAVENS
Doc56,Topic5,0.057,THE SEVEN RAVENS
Doc56,Topic6,0.117,THE SEVEN RAVENS
Doc56,Topic9,0.087,THE SEVEN RAVENS
Doc56,Topic8,0.084,THE SEVEN RAVENS
Doc57,Topic10,0.559,THE WEDDING OF MRS FOX:FIRST STORY
Doc57,Topic5,0.103,THE WEDDING OF MRS FOX:FIRST STORY
Doc57,Topic4,0.069,THE WEDDING OF MRS FOX:FIRST STORY
Doc57,Topic8,0.083,THE WEDDING OF MRS FOX:FIRST STORY
Doc58,Topic9,0.089,THE WEDDING OF MRS FOX:SECOND STORY
Doc58,Topic10,0.507,THE WEDDING OF MRS FOX:SECOND STORY
Doc58,Topic5,0.103,THE WEDDING OF MRS FOX:SECOND STORY
Doc58,Topic7,0.096,THE WEDDING OF MRS FOX:SECOND STORY
Doc58,Topic8,0.068,THE WEDDING OF MRS FOX:SECOND STORY
Doc59,Topic10,0.112,THE SALAD
Doc59,Topic1,0.127,THE SALAD
Doc59,Topic3,0.067,THE SALAD
Doc59,Topic2,0.098,THE SALAD
Doc59,Topic5,0.115,THE SALAD
Doc59,Topic4,0.054,THE SALAD
Doc59,Topic7,0.063,THE SALAD
Doc59,Topic6,0.202,THE SALAD
Doc59,Topic8,0.123,THE SALAD
Doc60,Topic1,0.305,THE STORY OF THE YOUTH WHO WENT FORTH TO LEARN WHAT FEAR WAS
Doc60,Topic2,0.054,THE STORY OF THE YOUTH WHO WENT FORTH TO LEARN WHAT FEAR WAS
Doc60,Topic5,0.072,THE STORY OF THE YOUTH WHO WENT FORTH TO LEARN WHAT FEAR WAS
Doc60,Topic6,0.088,THE STORY OF THE YOUTH WHO WENT FORTH TO LEARN WHAT FEAR WAS
Doc60,Topic9,0.110,THE STORY OF THE YOUTH WHO WENT FORTH TO LEARN WHAT FEAR WAS
Doc60,Topic8,0.216,THE STORY OF THE YOUTH WHO WENT FORTH TO LEARN WHAT FEAR WAS
Doc61,Topic10,0.098,KING GRISLY-BEARD
Doc61,Topic1,0.215,KING GRISLY-BEARD
Doc61,Topic3,0.062,KING GRISLY-BEARD
